,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_is_classifier,param_learning_rate_init,param_max_attempts,param_mutation_prob,param_pop_size,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0,8.95264744758606,2.1343786130920637,0.0009949803352355957,4.448838938936494e-06,sigmoid,"[5, 5]",True,0.001,10,0.1,100,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.1, 'pop_size': 100}",0.8225,0.8175,0.795,0.7525,0.796875,0.027634613711792703,4,0.8033333333333333,0.8233333333333334,0.805,0.7483333333333333,0.7949999999999999,0.028062430400804587
1,19.46060472726822,8.155677865621815,0.0017441511154174805,0.00043105797231330733,sigmoid,"[5, 5]",True,0.001,10,0.1,250,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.1, 'pop_size': 250}",0.835,0.8075,0.79,0.81,0.810625,0.01604437206624177,1,0.8391666666666666,0.8033333333333333,0.8125,0.83,0.82125,0.014099103596407167
2,26.447276830673218,1.1389565552978331,0.0017452239990234375,0.0004318113604848846,sigmoid,"[5, 5]",True,0.001,10,0.1,500,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.1, 'pop_size': 500}",0.7675,0.725,0.79,0.83,0.778125,0.03797100044771009,10,0.7541666666666667,0.7308333333333333,0.7883333333333333,0.8141666666666667,0.7718750000000001,0.031849118032442364
3,5.758928656578064,1.443194965942867,0.0012463927268981934,0.0004317080563946496,sigmoid,"[5, 5]",True,0.001,10,0.2,100,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.2, 'pop_size': 100}",0.73,0.81,0.605,0.74,0.72125,0.07385585623361227,19,0.7408333333333333,0.7925,0.5908333333333333,0.7533333333333333,0.719375,0.07662221310864537
4,17.973286747932434,11.340555274149326,0.001125931739807129,0.00022251297648087984,sigmoid,"[5, 5]",True,0.001,10,0.2,250,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.2, 'pop_size': 250}",0.7825,0.785,0.7975,0.785,0.7875,0.005863019699779281,7,0.76,0.8033333333333333,0.82,0.7766666666666666,0.79,0.023213980461973524
5,21.324646413326263,3.219137014336388,0.0014958381652832031,0.0004986524724401755,sigmoid,"[5, 5]",True,0.001,10,0.2,500,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.2, 'pop_size': 500}",0.8375,0.7075,0.7075,0.67,0.730625,0.06357512780168043,16,0.7975,0.71,0.735,0.7133333333333334,0.7389583333333333,0.03513552629936448
6,4.929815948009491,1.0527491052260294,0.0009974241256713867,4.915124923727108e-07,sigmoid,"[5, 5]",True,0.001,10,0.3,100,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.3, 'pop_size': 100}",0.6175,0.725,0.7275,0.6675,0.6843750000000001,0.04546203773479582,22,0.6225,0.72,0.73,0.73,0.7006249999999999,0.04528986503623075
7,15.683613717556,6.4824801744028075,0.001246631145477295,0.0004318456964528926,sigmoid,"[5, 5]",True,0.001,10,0.3,250,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.3, 'pop_size': 250}",0.8175,0.7375,0.805,0.605,0.7412500000000001,0.08434490203918671,13,0.8091666666666667,0.7633333333333333,0.8308333333333333,0.6708333333333333,0.7685416666666667,0.06145056448072713
8,27.483854949474335,11.50750293030058,0.001247107982635498,0.00043198335844930495,sigmoid,"[5, 5]",True,0.001,10,0.3,500,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.001, 'max_attempts': 10, 'mutation_prob': 0.3, 'pop_size': 500}",0.7325,0.6375,0.625,0.655,0.6625000000000001,0.04179563374325124,25,0.7108333333333333,0.6533333333333333,0.6258333333333334,0.66,0.6625000000000001,0.030703555711567552
9,9.36617386341095,2.3143551428521643,0.0012464523315429688,0.0004319489676253954,sigmoid,"[5, 5]",True,0.01,10,0.1,100,"{'activation': <function sigmoid at 0x000001DAE6771C10>, 'hidden_layer_sizes': [5, 5], 'is_classifier': True, 'learning_rate_init': 0.01, 'max_attempts': 10, 'mutation_prob': 0.1, 'pop_size': 100}",0.8225,0.8175,0.795,0.7525,0.796875,0.027634613711792703,4,0.8033333333333333,0.8233333333333334,0.805,0.7483333333333333,0.7949999999999999,0.028062430400804587
